"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","762665","18","49636","0","444","24","49036","156"
"2","ALWAR","1523763","5","84345","0","320","27","83930","95"
"3","BANSWARA","298209","20","14625","0","106","97","14371","148"
"4","BARAN","218499","6","15212","0","64","10","15079","69"
"5","BARMER","394811","6","21430","0","205","8","21178","47"
"6","BHARATPUR","464613","9","31378","0","272","16","31055","51"
"7","BHILWARA","489728","13","38129","0","161","13","37919","49"
"8","BIKANER","708039","21","49784","1","584","58","49085","115"
"9","BUNDI","221788","0","9715","0","55","4","9653","7"
"10","CHITTORGARH","443206","5","29342","0","140","34","29134","68"
"11","CHURU","411191","10","20721","0","114","30","20518","89"
"12","DAUSA","273879","0","15754","0","78","4","15659","17"
"13","DHOLPUR","270163","2","13731","0","49","18","13655","27"
"14","DUNGARPUR","324347","2","25489","0","134","14","25337","18"
"15","GANGANAGAR","410824","22","28059","0","158","35","27731","170"
"16","HANUMANGARH","474226","12","22404","0","114","19","22211","79"
"17","JAIPUR","3204156","191","272944","0","2108","331","268954","1882"
"18","JAISALMER","239038","6","17025","0","68","4","16834","123"
"19","JALORE","434842","0","10523","0","78","0","10425","20"
"20","JHALAWAR","360108","7","17667","0","207","9","17410","50"
"21","JHUNJHUNU","472851","19","19107","0","179","55","18794","134"
"22","JODHPUR","1363514","22","140710","1","1163","21","139397","150"
"23","KARAULI","228435","9","8949","0","84","15","8804","61"
