,Unnamed: 0,44,Unnamed: 1,मजुफ्फरनगर,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,38325,Unnamed: 5,0.2,Unnamed: 6,277,Unnamed: 7,2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,लसद्धाथ ुनगर,,0.0,,0.0,,11524.0,,0.0,,102.0,,2.0,,,,,
1,,46,,सोनभद्र,,1.0,,0.0,,18648.0,,0.0,,257.0,,2.0,,,,,
2,,47,,औरैय्या,,0.0,,0.0,,10784.0,,0.0,,211.0,,1.0,,,,,
3,,48,,अयोध्या,,0.0,,0.0,,18676.0,,0.0,,293.0,,1.0,,,,,
4,,49,,चचत्रकूट,,0.0,,0.0,,7761.0,,0.0,,79.0,,1.0,,,,,
5,,50,,क्रिरोजाबाद,,0.0,,0.0,,10564.0,,0.0,,136.0,,1.0,,,,,
6,,51,,गोंडा,,0.0,,2.0,,14120.0,,0.0,,285.0,,1.0,,,,,
7,,52,,महोबा,,0.0,,0.0,,4470.0,,0.0,,89.0,,1.0,,,,,
8,,53,,मऊ,,0.0,,1.0,,8937.0,,0.0,,86.0,,1.0,,,,,
9,,54,,लमर्ाुपरु,,0.0,,2.0,,11953.0,,0.0,,126.0,,1.0,,,,,
10,,55,,मरुादाबाद,,0.0,,0.0,,46070.0,,0.0,,368.0,,1.0,,,,,
11,,56,,प्रतापगढ़,,0.0,,0.0,,16743.0,,0.0,,163.0,,1.0,,,,,
12,,57,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
13,,58,,शाहजहांपरु,,0.0,,2.0,,24400.0,,0.0,,447.0,,1.0,,,,,
14,,59,,सीतापरु,,0.0,,0.0,,15756.0,,0.0,,187.0,,1.0,,,,,
15,,60,,बदाय,,0.0,,0.0,,17911.0,,0.0,,101.0,,0.0,,,,,
16,,61,,बलरामपरु,,0.0,,0.0,,8115.0,,0.0,,139.0,,0.0,,,,,
17,,62,,बरेली,,0.0,,3.0,,50091.0,,0.0,,377.0,,0.0,,,,,
18,,63,,बहराइच,,0.0,,1.0,,13411.0,,0.0,,178.0,,0.0,,,,,
19,,64,,एटा,,0.0,,0.0,,12104.0,,0.0,,100.0,,0.0,,,,,
20,,65,,गाजीपरु,,0.0,,0.0,,23876.0,,0.0,,295.0,,0.0,,,,,
21,,66,,हमीरपरु,,0.0,,0.0,,6064.0,,0.0,,102.0,,0.0,,,,,
22,,67,,हापड़ु,,0.0,,0.0,,15190.0,,0.0,,224.0,,0.0,,,,,
23,,68,,हाथरस,,0.0,,0.0,,3716.0,,0.0,,43.0,,0.0,,,,,
24,,69,,कानपरु देहात,,0.0,,1.0,,7126.0,,0.0,,110.0,,0.0,,,,,
25,,70,,कासगजं,,0.0,,0.0,,4885.0,,0.0,,55.0,,0.0,,,,,
26,,71,,कौशाम्बी,,0.0,,0.0,,4878.0,,0.0,,72.0,,0.0,,,,,
27,,72,,पीलीभीत,,0.0,,0.0,,12728.0,,0.0,,205.0,,0.0,,,,,
28,,73,,रामपरु,,0.0,,0.0,,14607.0,,0.0,,153.0,,0.0,,,,,
29,,74,,शामली,,0.0,,0.0,,16695.0,,0.0,,48.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,0.0,,5233.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,11.0,,91.0,,2046015.0,,0.0,,23492.0,,778.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23492 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
