"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23509","","5291","","28800",""
"2","Total Active Cases","145 
(0.61%)","","07 
(0.13%)","","152 
(0.53%)",""
"3","Total Cured/Discharged","23196 
(98.66%)","","5224 
(98.7%)","","28420 
(98.68%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","23","","00","","23",""
"6","Total Positive cases in Home Isolation","109","","06","","115",""
"7","COVID Care Centre","00","","01","","01",""
"8","Facility Isolation","13","","00","","13",""
"9","No. of Samples Tested (Today)","341","","186","","527",""
"10","No. of Samples Positive (Today)","30","","01","","31",""
"11","No. of Samples Negative (Today)","311","","185","","496",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","61 
61 
10 
06 
138"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(24/07/2022)","","Test Done Today 
(25/07/2022)","","Cumulative"
"","","a)RTPCR","330920","","254","","331174"
"","","b)TRUENAT","14590","","10","","14600"
"","","c)RAT","353171","","263","","353434"
"","","d)  CBNAAT","1123","","00","","1123"
"","","TOTAL","699804","","527","","700331"
