"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22943","","5275","","28218",""
"2","Total Active Cases","16 
(0.07%)","","00 
(0%)","","16 
(0.06%)",""
"3","Total Cured/ Discharged","22759 
(99.2%)","","5215                                  
(98.9%)","","(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","12","","00","","12",""
"7","COVID Care Centre","04","","00","","04",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","323","","47","","370",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","323","","47","","370",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","248 
        00 
        00 
        08 
       256"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(26/03/2022)","","Test Done Today 
(27/03/2022)","","Cumulative"
"","","a)  RTPCR","314932","","325","","315257"
"","","b)  TRUENAT","12885","","35","","12920"
"","","c)  RAT","347421","","09","","347430"
"","","d)  CBNAAT","945","","01","","946"
"","","TOTAL","676183","","370","","676553"
