"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","780701","1","49715","0","446","1","49266","3"
"2","ALWAR","1584980","0","84453","0","320","1","84133","0"
"3","BANSWARA","312067","0","14762","0","106","0","14656","0"
"4","BARAN","229922","0","15247","0","64","0","15181","2"
"5","BARMER","400832","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476126","0","31450","0","272","0","31178","0"
"7","BHILWARA","503479","0","38176","0","162","0","38014","0"
"8","BIKANER","730149","1","49897","0","586","1","49304","7"
"9","BUNDI","229328","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","448844","0","29374","0","140","0","29234","0"
"11","CHURU","430315","0","20819","0","114","0","20705","0"
"12","DAUSA","286624","1","15774","0","80","0","15693","1"
"13","DHOLPUR","276873","0","13750","0","49","0","13699","2"
"14","DUNGARPUR","327015","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","420861","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486585","0","22516","0","114","0","22402","0"
"17","JAIPUR","3345100","7","274424","0","2111","8","272270","43"
"18","JAISALMER","241552","0","17036","0","68","0","16968","0"
"19","JALORE","441363","0","10545","0","78","0","10467","0"
"20","JHALAWAR","381040","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","490191","0","19158","0","181","0","18977","0"
"22","JODHPUR","1406314","1","141080","0","1164","2","139901","15"
"23","KARAULI","236028","0","8968","0","84","0","8884","0"
