"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229192","223270","5894","28"
"12","Nashik","478515","469458","8918","139"
"13","Ahmednagar","380712","373386","7251","75"
"14","Jalgaon","150205","147436","2762","7"
"15","Nandurbar","46972","46005","963","4"
"16","Dhule","51448","50770","670","8"
"17","Aurangabad","178664","174350","4288","26"
"18","Jalna","67516","66260","1226","30"
"19","Beed","109712","106819","2889","4"
"20","Latur","106430","103887","2489","54"
"21","Parbhani","58797","57513","1281","3"
"22","Hingoli","22448","21925","516","7"
"23","Nanded","103303","100588","2705","10"
"24","Osmanabad","76758","74554","2139","65"
"25","Amravati","107008","105365","1626","17"
"26","Akola","66974","65465","1476","33"
"27","Washim","47378","46704","641","33"
"28","Buldhana","93159","92309","839","11"
"29","Yavatmal","82635","80808","1820","7"
"30","Nagpur","585739","576384","9224","131"
"31","Wardha","66345","64933","1410","2"
"32","Bhandara","69872","68711","1142","19"
"33","Gondia","45989","45386","588","15"
"34","Chandrapur","100072","98443","1596","33"
