"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24039","","5338","","29377",""
"2","Total Active Cases","10 
(0.04%)","","00 
(0%)","","10 
(0.03%)",""
"3","Total Cured/Discharged","23858 
(99.24%)","","5278 
(98.9%)","","29136 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","08","","00","","08",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","95","","23","","118",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","93","","23","","116",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","40 
00 
00 
00 
40"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(18/10/2022)","","Test Done Today 
(19/10/2022)","","Cumulative"
"","","a)RTPCR","340583","","59","","340642"
"","","b)TRUENAT","15507","","11","","15518"
"","","c)RAT","364075","","48","","364123"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721390","","118","","721508"
