"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","777401","0","49706","0","446","0","49251","9"
"2","ALWAR","1571649","4","84445","0","320","0","84109","16"
"3","BANSWARA","309231","2","14761","0","106","1","14644","11"
"4","BARAN","227578","0","15245","0","64","0","15179","2"
"5","BARMER","399613","0","21452","0","205","0","21247","0"
"6","BHARATPUR","474600","3","31449","0","272","1","31154","23"
"7","BHILWARA","500789","0","38176","0","162","0","38014","0"
"8","BIKANER","725378","0","49884","0","586","0","49293","5"
"9","BUNDI","227493","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","447503","7","29371","0","140","0","29222","9"
"11","CHURU","426206","1","20816","0","114","0","20696","6"
"12","DAUSA","284603","0","15773","0","80","0","15693","0"
"13","DHOLPUR","274766","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326608","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","419531","0","28136","0","158","2","27978","0"
"16","HANUMANGARH","484368","1","22514","0","114","0","22389","11"
"17","JAIPUR","3320050","17","274327","0","2111","10","272077","139"
"18","JAISALMER","241097","0","17036","0","68","0","16968","0"
"19","JALORE","439817","0","10545","0","78","0","10467","0"
"20","JHALAWAR","374861","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","488060","0","19158","0","181","0","18977","0"
"22","JODHPUR","1393839","7","141048","0","1163","3","139857","28"
"23","KARAULI","234911","0","8968","0","84","0","8883","1"
"24","KOTA","1091302","2","70085","0","477","0","69600","8"
"25","NAGAUR","628066","0","23631","0","200","0","23429","2"
"26","PALI","458611","0","35850","0","298","0","35552","0"
"27","PRATAPGARH","275203","3","11874","0","65","0","11802","7"
"28","RAJSAMAND","297592","0","23025","0","178","0","22847","0"
