"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","767033","3","49680","0","445","18","49192","43"
"2","ALWAR","1537425","8","84365","0","320","5","84031","14"
"3","BANSWARA","301229","8","14709","0","106","28","14547","56"
"4","BARAN","220915","4","15235","0","64","12","15141","30"
"5","BARMER","396534","0","21448","0","205","6","21211","32"
"6","BHARATPUR","467414","3","31395","0","272","9","31106","17"
"7","BHILWARA","493198","2","38163","0","162","2","37994","7"
"8","BIKANER","713609","7","49845","0","584","13","49206","55"
"9","BUNDI","223387","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","444782","3","29361","0","140","0","29180","41"
"11","CHURU","414640","5","20778","0","114","11","20597","67"
"12","DAUSA","276566","0","15768","1","80","5","15679","9"
"13","DHOLPUR","271496","3","13744","0","49","6","13680","15"
"14","DUNGARPUR","324958","0","25497","0","134","0","25360","3"
"15","GANGANAGAR","413764","1","28106","0","158","0","27862","86"
"16","HANUMANGARH","476446","9","22447","0","114","4","22259","74"
"17","JAIPUR","3236880","55","273664","0","2109","99","270131","1424"
"18","JAISALMER","239769","0","17033","0","68","3","16945","20"
"19","JALORE","436240","0","10536","0","78","0","10433","25"
"20","JHALAWAR","363901","1","17689","0","207","5","17468","14"
"21","JHUNJHUNU","476805","1","19153","0","180","19","18927","46"
"22","JODHPUR","1372472","18","140856","0","1163","20","139567","126"
"23","KARAULI","230247","0","8963","0","84","14","8870","9"
