"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22966","","5280","","28246",""
"2","Total Active Cases","01 
(0.004%)","","00 
(0%)","","01 
(0.004%)",""
"3","Total Cured/Discharged","22797 
(99.3%)","","5220 
(98.9%)","","28017 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","01","","00","","01",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","87","","05","","92",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","87","","05","","92",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","17 
00 
25 
00 
42"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(02/05/2022)","","Test Done Today 
(03/05/2022)","","Cumulative"
"","","a)RTPCR","320212","","34","","320246"
"","","b)TRUENAT","13685","","26","","13711"
"","","c)RAT","348237","","32","","348269"
"","","d)  CBNAAT","1089","","00","","1089"
"","","TOTAL","683223","","92","","683315"
