"S. No","Subject","Number"
"1","Total Number of people vaccinated on 4th Feb","4,45,915"
"2","First Dose on 4th Feb","39,646"
"3","Second Dose on 4th Feb","3,64,810"
"4","Precaution Dose on 4th Feb","41,459"
"5","Cumulative Vaccination till 4th Feb","12,19,69,636"
"6","Cumulative Vaccination First Dose","6,91,59,780"
"7","Cumulative Vaccination Second Dose","5,17,51,594"
"8","Cumulative Precaution Dose","10,58,262"
"9","Number of CVC (Common Vaccination Centres)","4,883"
"10","Cumulative AEFI cases reported","6,820"
"11","Vaccine wastage","-7%"
