"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 02-07-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","668","",""
"","","2","Total Discharges","3924900","",""
"","","3","Today's Tests Conducted","26061","",""
"","","4","Total Tests Conducted","67039934","",""
"","","5","Today’s New Cases Reported (01.07.2022, 00:00 to 23:59)","975","",""
"","","6","Total Active Cases","6440","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40077","",""
"","","9","Total Positive Cases","3971459","",""
"","","10","Positivity Rate for the day (01.07.2022, 00:00 to 23:59)","3.74%","",""
"","","11","*Weekly Total Positivity Rate","3.68%","",""
"","","12","Case Fatality Rate (CFR) for the day (01.07.2022, 00:00 to 23:59)","0.10%","",""
"","","13","*Weekly Case Fatality Rate","0.06%","",""
"*From 26-06-2022 to 02-07-2022 
Particulars 
Today’s 
Cumulative 
5989* 
1147777 
A 
Total Passengers screened at Air ports 
           Date: 01-07-2022 
          
 
Date: 02-07-2022 
Page 1 of 8","","","","","",""
