"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","287","7","0","0","58"
"2","ALWAR","777","2","0","3","18"
"3","BANSWARA","58","0","0","0","0"
"4","BARAN","78","2","0","0","8"
"5","BARMER","30","0","0","0","0"
"6","BHARATPUR","31","0","0","0","3"
"7","BHILWARA","31","0","0","0","1"
"8","BIKANER","349","0","0","0","10"
"9","BUNDI","72","0","0","0","2"
"10","CHITTORGARH","86","0","0","0","11"
"11","CHURU","72","0","0","0","0"
"12","DAUSA","338","0","0","0","0"
"13","DHOLPUR","42","0","0","0","0"
"14","DUNGARPUR","5","2","0","0","15"
"15","GANGANAGAR","43","0","0","0","2"
"16","HANUMANGARH","142","0","0","0","0"
"17","JAIPUR","842","4","0","3","66"
"18","JAISALMER","1","0","0","0","0"
"19","JALORE","51","0","0","0","0"
"20","JHALAWAR","422","1","0","0","4"
"21","JHUNJHUNU","202","0","0","0","0"
"22","JODHPUR","166","9","0","0","30"
"23","KARAULI","112","0","0","0","1"
"24","KOTA","842","6","0","16","44"
"25","NAGAUR","215","0","0","0","0"
"26","PALI","323","1","0","0","11"
