"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","625862","1","37825","0","410","9","37393","22"
"2","ALWAR","1241374","0","59712","0","307","0","59389","16"
"3","BANSWARA","229378","0","10005","0","104","0","9901","0"
"4","BARAN","159774","0","11997","0","61","1","11936","0"
"5","BARMER","331146","1","15572","0","185","0","15384","3"
"6","BHARATPUR","382901","0","19601","0","260","0","19341","0"
"7","BHILWARA","390631","0","29782","0","156","0","29626","0"
"8","BIKANER","595559","0","40361","0","545","0","39802","14"
"9","BUNDI","175056","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","359173","0","19809","0","139","0","19670","0"
"11","CHURU","316985","0","16720","0","107","0","16613","0"
"12","DAUSA","209308","0","13353","0","62","0","13289","2"
"13","DHOLPUR","224364","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","248662","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","331432","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","374956","1","16054","0","111","0","15942","1"
"17","JAIPUR","2540724","8","187989","0","1971","12","185918","100"
"18","JAISALMER","205696","0","13644","0","66","0","13573","5"
"19","JALORE","374602","0","10067","0","72","0","9995","0"
"20","JHALAWAR","281141","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","371964","0","14811","0","158","0","14653","0"
"22","JODHPUR","1157615","0","112419","0","1103","0","111312","4"
"23","KARAULI","170251","0","7156","0","70","0","7086","0"
