"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22970","","5280","","28250",""
"2","Total Active Cases","04 
(0.02%)","","00 
(0%)","","04 
(0.01%)",""
"3","Total Cured/Discharged","22798 
(99.3%)","","5220 
(98.9%)","","28018 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","03","","00","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","120","","25","","145",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","118","","25","","143",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","53 
53 
10 
21 
137"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(09/05/2022)","","Test Done Today 
(10/05/2022)","","Cumulative"
"","","a)RTPCR","320541","","78","","320619"
"","","b)TRUENAT","13804","","18","","13822"
"","","c)RAT","348395","","42","","348437"
"","","d)  CBNAAT","1098","","07","","1105"
"","","TOTAL","683838","","145","","683983"
