"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1797860","20788324"
"2","Total No. of patients tested Positive","24139","784667"
"3","No. of patients discharged","23738","764012"
"4","Total Deaths reported","203","20508"
"5","Sample collected on the day","","8374"
"6","Test conducted on the day","","8368"
"7","Positive cases on the day","","7"
"8","Number of active Cases","","147"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117940"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211959"
"18","Frontline Workers vaccinated with 2nd dose on the day","","2"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019250"
"20","Above 45 Vaccinated with 1st dose on the day","","5"
"21","Total Above 45 Vaccinated with 1st dose","","8346533"
"22","Above 45 Vaccinated with 2nd dose on the day","","30"
"23","Total Above 45 Vaccinated with 2nd dose","","7651174"
"24","18-44 years age group Vaccinated with 1st dose on the day","","34"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12660913"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","85"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10694794"
"28","15-17 years age group Vaccinated with 1st dose on the day","","24"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114377"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","39"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","861268"
"32","12-14 years age group Vaccinated with 1st dose on the day","","28"
"33","Total 12-14 years age group Vaccinated with 1st dose","","676813"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","197"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","482787"
"36","Precautionary dose given on the day","","306"
"37","Total Precautionary dose given","","1766586"
"38","Total Vaccination 1st dose on the day","","40"
"39","Total Vaccination 2nd dose on the day","","119"
"40","Total Vaccination 1st and 2nd dose on the day","","159"
