"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","1005","960","37681","209","3579","41260","797"
"Bageshwar","810","987","20317","106","1882","22199","730"
"Chamoli","1024","742","22455","106","2371","24826","1018"
"Champawat","1360","870","28635","26","1593","30228","1461"
"Dehradun","8445","8532","188756","761","28693","217449","2897"
"Haridwar","7461","7405","210446","206","11479","221925","2442"
"Nainital","1474","1339","38149","150","10509","48658","314"
"Pauri Garhwal","1395","1269","37631","88","4561","42192","632"
"Pithoragarh","553","474","21704","89","2091","23795","971"
"Rudraprayag","614","554","14953","142","2141","17094","208"
"Tehri Garhwal","395","338","15809","65","2005","17814","573"
"US Nagar","2008","1708","72945","119","8022","80967","348"
"Uttarkashi","616","270","15628","14","1296","16924","683"
"Total","27160","25448","725109","2081","80222","805331","13074"
