"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","790089","4","49799","0","447","4","49341","11"
"2","ALWAR","1615453","5","84718","1","321","7","84364","33"
"3","BANSWARA","319804","0","14771","0","106","0","14661","4"
"4","BARAN","238433","2","15306","0","64","0","15235","7"
"5","BARMER","404247","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476298","0","31451","0","272","0","31179","0"
"7","BHILWARA","508055","3","38194","0","162","2","38027","5"
"8","BIKANER","746677","4","49978","1","587","4","49368","23"
"9","BUNDI","235278","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452804","0","29393","0","140","0","29251","2"
"11","CHURU","435265","1","20869","0","115","0","20740","14"
"12","DAUSA","293744","4","15834","0","81","2","15744","9"
"13","DHOLPUR","286670","0","13965","0","49","0","13913","3"
"14","DUNGARPUR","327864","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422971","0","28153","0","158","0","27992","3"
"16","HANUMANGARH","488870","0","22519","0","114","0","22404","1"
"17","JAIPUR","3439520","37","276336","0","2113","25","274000","223"
"18","JAISALMER","242596","0","17036","0","68","0","16968","0"
"19","JALORE","445934","1","10551","0","78","0","10470","3"
"20","JHALAWAR","402609","0","17749","0","207","1","17532","10"
"21","JHUNJHUNU","493064","0","19159","0","181","1","18978","0"
"22","JODHPUR","1425661","3","141160","0","1164","1","139980","16"
"23","KARAULI","240508","0","8968","0","84","0","8884","0"
