"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40678","0","40307","4","0","367","0"
"2","Ballari","1","115506","1","113713","30","0","1761","2"
"3","Belagavi","0","100111","2","99062","46","0","1001","2"
"4","Bengaluru Rural","0","79272","1","78354","12","0","906","0"
"5","Bengaluru Urban","101","1780498","131","1761631","1923","1","16943","1"
"6","Bidar","0","29804","0","29380","0","0","420","4"
"7","Chamarajanagara","0","43614","1","43075","4","0","524","11"
"8","Chikkaballapura","0","55614","4","55146","8","0","459","1"
"9","Chikkamagaluru","0","57236","2","56824","6","0","406","0"
"10","Chitradurga","6","46277","11","45980","58","0","239","0"
"11","Dakshina 
Kannada","3","135455","2","133584","22","0","1839","10"
"12","Davanagere","0","57534","1","56906","5","0","623","0"
"13","Dharwad**","2","84057","0","82659","11","0","1382","5"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143855","1","142541","7","0","1305","2"
"16","Haveri","0","26836","0","26166","2","0","668","0"
"17","Kalaburagi","0","76592","3","75688","24","0","880","0"
"18","Kodagu","1","49260","15","48907","0","0","352","1"
"19","Kolara","1","62980","3","62306","10","0","664","0"
"20","Koppala","0","41281","1","40742","1","0","538","0"
"21","Mandya","1","101478","0","100763","4","0","711","0"
"22","Mysuru","0","229416","5","226820","38","1","2558","0"
"23","Raichuru","0","45446","1","45076","6","0","364","0"
"24","Ramanagara","1","29786","2","29420","19","0","347","0"
"25","Shivamogga","3","83315","4","82135","51","0","1128","1"
"26","Tumakuru","7","159822","13","158582","24","0","1216","0"
"27","Udupi","1","95589","0","95040","3","0","546","0"
"28","Uttara Kannada","1","71155","2","70336","10","0","809","0"
"29","Vijayapura","0","40994","0","40472","4","0","518","0"
"30","Yadagiri","0","29961","0","29740","9","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","129","3944041","206","3901636","2341","2","40024","40"
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today 
 
 
Date: 15-03-2022 
Page 5 of 7","","","","","","","","",""
