"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","709195","655","43590","1","416","407","39859","3315"
"2","ALWAR","1401599","1222","73031","1","313","1059","64912","7806"
"3","BANSWARA","275360","120","11165","0","104","100","10301","760"
"4","BARAN","195824","94","13009","0","62","48","12223","724"
"5","BARMER","371626","303","19578","1","191","333","16845","2542"
"6","BHARATPUR","429937","615","26496","1","262","508","22215","4019"
"7","BHILWARA","453606","428","33476","0","156","213","30949","2371"
"8","BIKANER","659114","252","46419","0","554","405","43332","2533"
"9","BUNDI","203011","83","8569","0","48","41","8150","371"
"10","CHITTORGARH","413829","488","24596","0","139","341","21926","2531"
"11","CHURU","375838","162","18537","1","109","64","17161","1267"
"12","DAUSA","245514","118","14791","0","66","103","13880","845"
"13","DHOLPUR","250694","88","12062","0","48","71","11178","836"
"14","DUNGARPUR","299116","389","20851","0","131","136","19082","1638"
"15","GANGANAGAR","375825","222","21599","0","151","104","19686","1762"
"16","HANUMANGARH","446760","311","19058","0","111","388","16822","2125"
"17","JAIPUR","2908357","3988","235417","3","2001","2546","210638","22778"
"18","JAISALMER","227085","131","15165","0","67","150","14383","715"
"19","JALORE","413956","43","10250","0","73","0","9997","180"
"20","JHALAWAR","332870","179","15158","0","191","101","14167","800"
"21","JHUNJHUNU","434893","133","16141","0","162","153","15096","883"
"22","JODHPUR","1270715","1144","127143","5","1116","894","119033","6994"
"23","KARAULI","206357","151","7798","0","72","10","7127","599"
