"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","796"
"2","Number of persons tested positive today in Tamil Nadu","70"
"3","Total Number of persons tested positive till date","34,52,215"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","37,406/ 
6,51,56,414@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","37,357/ 
6,39,80,277"
"6","No. of Male / Female / Transgender tested positive today","34/36/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,856/14,37,321/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","146/ 
34,13,394"
"10","Total number of deaths today/ till date","1(1 Private &  
0 Govt) /38,025"
