"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","14","0","0","0","57"
"2","ALWAR","73","1","0","4","20"
"3","BANSWARA","0","0","0","0","0"
"4","BARAN","41","0","0","0","2"
"5","BARMER","26","0","0","0","0"
"6","BHARATPUR","6","0","0","0","1"
"7","BHILWARA","9","0","0","0","0"
"8","BIKANER","27","2","0","0","6"
"9","BUNDI","0","0","0","0","0"
"10","CHITTORGARH","10","0","0","0","4"
"11","CHURU","16","0","0","0","0"
"12","DAUSA","4","0","0","0","1"
"13","DHOLPUR","4","0","0","0","0"
"14","DUNGARPUR","0","0","0","0","0"
"15","GANGANAGAR","2","0","0","0","1"
"16","HANUMANGARH","11","0","0","0","2"
"17","JAIPUR","424","12","0","0","100"
"18","JAISALMER","0","0","0","0","0"
"19","JALORE","9","0","0","0","0"
"20","JHALAWAR","2","0","0","0","2"
"21","JHUNJHUNU","12","0","0","0","1"
"22","JODHPUR","76","1","0","6","38"
"23","KARAULI","1","0","0","0","3"
"24","KOTA","265","5","0","8","22"
"25","NAGAUR","0","0","0","2","1"
"26","PALI","11","0","0","0","15"
