"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","87","15","0","11","124"
"2","ALWAR","194","7","0","40","242"
"3","BANSWARA","22","0","0","14","16"
"4","BARAN","87","0","0","0","3"
"5","BARMER","35","0","0","1","11"
"6","BHARATPUR","98","5","0","92","251"
"7","BHILWARA","85","0","0","0","90"
"8","BIKANER","154","2","0","7","39"
"9","BUNDI","5","0","0","0","42"
"10","CHITTORGARH","10","5","0","23","86"
"11","CHURU","0","0","0","2","0"
"12","DAUSA","19","0","1","32","126"
"13","DHOLPUR","4","0","0","0","35"
"14","DUNGARPUR","6","11","0","4","44"
"15","GANGANAGAR","5","2","0","0","6"
"16","HANUMANGARH","6","0","0","1","24"
"17","JAIPUR","866","98","0","123","1025"
"18","JAISALMER","14","0","0","1","25"
"19","JALORE","112","0","0","0","16"
"20","JHALAWAR","19","4","0","2","23"
"21","JHUNJHUNU","104","0","0","0","6"
"22","JODHPUR","163","16","0","12","214"
"23","KARAULI","21","1","0","1","5"
"24","KOTA","243","1","0","3","41"
"25","NAGAUR","17","0","0","26","64"
"26","PALI","83","11","0","13","55"
