"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1005980","*19994858"
"2","Total No. of patients tested Positive","5756","764781"
"3","No. of patients discharged","4575","745825"
"4","Total Deaths reported","39","17785"
"5","Sample collected on the day","","5899"
"6","Test conducted on the day","","5720"
"7","Positive cases on the day","","111"
"8","Number of active Cases","","1171"
"9","No. of Patients on oxygen support","","32"
"10","Patients at critical care Level-3 facilities","","8"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218743"
"14","Frontline Workers vaccinated with 1st dose on the day","","11"
"15","Total Frontline Workers vaccinated with 1st dose","","1117576"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","31"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211055"
"18","Frontline Workers vaccinated with 2nd dose on the day","","88"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015715"
"20","Above 45 Vaccinated with 1st dose on the day","","384"
"21","Total Above 45 Vaccinated with 1st dose","","8330319"
"22","Above 45 Vaccinated with 2nd dose on the day","","4618"
"23","Total Above 45 Vaccinated with 2nd dose","","7522417"
"24","18-44 years age group Vaccinated with 1st dose on the day","","905"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12604717"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","10476"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10389749"
"28","15-17 years age group Vaccinated with 1st dose on the day","","384"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1092613"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2841"
"31","Total 15-17 years age group Vaccinated with 2nddose","","791559"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1801"
"33","Total 12-14 years age group Vaccinated with 1st dose","","608854"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4584"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","370851"
"36","Precautionary dose given on the day","","3915"
"37","Total Precautionary dose given","","772658"
"38","Total Vaccination 1st dose on the day","","1305"
"39","Total Vaccination 2nd dose on the day","","15213"
"40","Total Vaccination 1st and 2nd dose on the day","","16518"
