"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","871797","19860669"
"2","Total No. of patients tested Positive","3700","762755"
"3","No. of patients discharged","2653","743903"
"4","Total Deaths reported","27","17773"
"5","Sample collected on the day","","12471"
"6","Test conducted on the day","","11925"
"7","Positive cases on the day","","223"
"8","Number of active Cases","","1079"
"9","No. of Patients on oxygen support","","28"
"10","Patients at critical care Level-3 facilities","","10"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218682"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117501"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","35"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210734"
"18","Frontline Workers vaccinated with 2nd dose on the day","","145"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014375"
"20","Above 45 Vaccinated with 1st dose on the day","","403"
"21","Total Above 45 Vaccinated with 1st dose","","8326930"
"22","Above 45 Vaccinated with 2nd dose on the day","","8375"
"23","Total Above 45 Vaccinated with 2nd dose","","7454242"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1810"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12593432"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","16173"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10244540"
"28","15-17 years age group Vaccinated with 1st dose on the day","","428"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1086269"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2752"
"31","Total 15-17 years age group Vaccinated with 2nddose","","762992"
"32","12-14 years age group Vaccinated with 1st dose on the day","","429"
"33","Total 12-14 years age group Vaccinated with 1st dose","","595857"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1851"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","336454"
"36","Precautionary dose given on the day","","3179"
"37","Total Precautionary dose given","","738576"
"38","Total Vaccination 1st dose on the day","","2218"
"39","Total Vaccination 2nd dose on the day","","24728"
"40","Total Vaccination 1st and 2nd dose on the day","","26946"
