"D
       
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 03-11-2021","","","","","","","",""
"","","","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","",""
"","","","","","","","",""
"","","1","Today’s Discharges","","316","","",""
"","","2","Total Discharges","","2942588","","",""
"","","3","New Cases Reported (02.11.2021, 00:00 to 23:59)","","254","","",""
"","","4","Total Active Cases","","8306","","",""
"","","5","New Covid Deaths","","2","","",""
"","","6","Total Covid Deaths","","38091","","",""
"","","7","Total Positive Cases","","2989014","","",""
"","","8","Positivity rate for the day (02.11.2021, 00:00 to 23:59)","","0.33%","","",""
"","","9","Case fatality rate (CFR) for the day (02.11.2021, 00:00 to 23:59)","","0.78%","","",""
"","","","","","","","",""
"","Particulars","","","Today’s","","Cumulative","",""
"","A 
Total Passengers screened at Air ports","","","10987*","","470284","",""
"","UK passengers arrived from 25-11- 2020 to till date 
B","","","1345","","39116","",""
"*Date: 27-10-2021 (8 AM) to 02-11-2021 (8 AM). 
 
 
Date: 03-11-2021 
 Page 1 of 8","","","","","","","",""
