"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","661264","6","37906","0","410","3","37455","41"
"2","ALWAR","1324505","14","59786","0","307","1","59436","43"
"3","BANSWARA","256032","0","10005","0","104","0","9901","0"
"4","BARAN","179112","0","12000","0","61","0","11939","0"
"5","BARMER","343816","0","15586","0","186","0","15399","1"
"6","BHARATPUR","398139","8","19614","0","260","0","19345","9"
"7","BHILWARA","420365","9","29817","0","156","0","29633","28"
"8","BIKANER","620070","4","40449","0","546","0","39856","47"
"9","BUNDI","188524","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","379309","0","19809","0","139","0","19670","0"
"11","CHURU","343900","0","16724","0","108","0","16615","1"
"12","DAUSA","226036","1","13359","0","62","0","13294","3"
"13","DHOLPUR","235280","3","11015","0","48","0","10962","5"
"14","DUNGARPUR","262999","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","353672","4","19381","0","151","1","19211","19"
"16","HANUMANGARH","413199","0","16081","0","111","0","15965","5"
"17","JAIPUR","2659769","192","188998","0","1971","9","186231","796"
"18","JAISALMER","213874","0","13651","0","66","1","13585","0"
"19","JALORE","392633","0","10068","0","72","0","9996","0"
"20","JHALAWAR","312654","0","13614","0","187","0","13426","1"
"21","JHUNJHUNU","408326","2","14832","0","160","0","14665","7"
"22","JODHPUR","1197141","32","112569","0","1103","0","111340","126"
"23","KARAULI","188936","0","7156","0","70","0","7086","0"
