,Unnamed: 0,44,Unnamed: 1,कासगजं,Unnamed: 2,2,Unnamed: 3,1,Unnamed: 4,4888,Unnamed: 5,0,Unnamed: 6,55,Unnamed: 7,2.1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,रामपरु,,0.0,,0.0,,14616.0,,0.0,,153.0,,2.0,,,,,
1,,46,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,2.0,,,,,
2,,47,,लसद्धाथ ुनगर,,0.0,,0.0,,11525.0,,0.0,,102.0,,2.0,,,,,
3,,48,,अम्बडेकर नगर,,0.0,,0.0,,5969.0,,0.0,,167.0,,1.0,,,,,
4,,49,,अयोध्या,,0.0,,1.0,,18683.0,,0.0,,293.0,,1.0,,,,,
5,,50,,बदाय,,0.0,,0.0,,17914.0,,0.0,,101.0,,1.0,,,,,
6,,51,,बाराबकंी,,0.0,,1.0,,23713.0,,0.0,,227.0,,1.0,,,,,
7,,52,,बस्ती,,0.0,,0.0,,12804.0,,0.0,,337.0,,1.0,,,,,
8,,53,,बबजनौर,,0.0,,0.0,,18292.0,,0.0,,139.0,,1.0,,,,,
9,,54,,गाजीपरु,,0.0,,0.0,,23879.0,,0.0,,295.0,,1.0,,,,,
10,,55,,हापड़ु,,1.0,,0.0,,15200.0,,0.0,,224.0,,1.0,,,,,
11,,56,,कुशीनगर,,0.0,,1.0,,16241.0,,0.0,,235.0,,1.0,,,,,
12,,57,,महोबा,,1.0,,0.0,,4472.0,,0.0,,89.0,,1.0,,,,,
13,,58,,मऊ,,0.0,,0.0,,8940.0,,0.0,,86.0,,1.0,,,,,
14,,59,,प्रतापगढ़,,0.0,,0.0,,16757.0,,0.0,,163.0,,1.0,,,,,
15,,60,,सीतापरु,,0.0,,0.0,,15767.0,,0.0,,189.0,,1.0,,,,,
16,,61,,अमठेी,,0.0,,0.0,,11520.0,,0.0,,145.0,,0.0,,,,,
17,,62,,बललया,,0.0,,0.0,,22518.0,,0.0,,246.0,,0.0,,,,,
18,,63,,बलरामपरु,,0.0,,0.0,,8123.0,,0.0,,139.0,,0.0,,,,,
19,,64,,भदोही,,0.0,,0.0,,8488.0,,1.0,,166.0,,0.0,,,,,
20,,65,,चचत्रकट,,0.0,,0.0,,7781.0,,0.0,,79.0,,0.0,,,,,
21,,66,,देवररया,,0.0,,0.0,,22409.0,,0.0,,230.0,,0.0,,,,,
22,,67,,एटा,,0.0,,0.0,,12107.0,,0.0,,100.0,,0.0,,,,,
23,,68,,हाथरस,,0.0,,0.0,,3720.0,,0.0,,43.0,,0.0,,,,,
24,,69,,कानपरु देहात,,0.0,,0.0,,7127.0,,0.0,,111.0,,0.0,,,,,
25,,70,,कौशाम्बी,,0.0,,0.0,,4880.0,,0.0,,72.0,,0.0,,,,,
26,,71,,लमर्ाुपरु,,0.0,,0.0,,11960.0,,0.0,,126.0,,0.0,,,,,
27,,72,,पीलीभीत,,0.0,,0.0,,12730.0,,0.0,,205.0,,0.0,,,,,
28,,73,,सतं कबीर नगर,,0.0,,0.0,,8854.0,,0.0,,101.0,,0.0,,,,,
29,,74,,शाहजहांपरु,,0.0,,0.0,,24408.0,,0.0,,447.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,0.0,,5236.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,158.0,,262.0,,2052877.0,,1.0,,23513.0,,1174.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23512 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
