"S. No","Subject","Number"
"1","Total Number of people vaccinated on 5th Feb","2,70,612"
"2","First Dose on 5th Feb","20,923"
"3","Second Dose on 5th Feb","2,17,039"
"4","Precaution Dose on 5th Feb","32,650"
"5","Cumulative Vaccination till 5th Feb","12,22,40,248"
"6","Cumulative Vaccination First Dose","6,91,80,703"
"7","Cumulative Vaccination Second Dose","5,19,68,633"
"8","Cumulative Precaution Dose","10,90,912"
"9","Number of CVC (Common Vaccination Centres)","4,848"
"10","Cumulative AEFI cases reported","6,821"
"11","Vaccine wastage","-7%"
