"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","805282","19794154"
"2","Total No. of patients tested Positive","2663","761734"
"3","No. of patients discharged","2009","743259"
"4","Total Deaths reported","17","17763"
"5","Sample collected on the day","","10189"
"6","Test conducted on the day","","7878"
"7","Positive cases on the day","","113"
"8","Number of active Cases","","712"
"9","No. of Patients on oxygen support","","13"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218667"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117457"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","13"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210571"
"18","Frontline Workers vaccinated with 2nd dose on the day","","52"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013772"
"20","Above 45 Vaccinated with 1st dose on the day","","617"
"21","Total Above 45 Vaccinated with 1st dose","","8323958"
"22","Above 45 Vaccinated with 2nd dose on the day","","7547"
"23","Total Above 45 Vaccinated with 2nd dose","","7410714"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1365"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12585062"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","13749"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10158325"
"28","15-17 years age group Vaccinated with 1st dose on the day","","374"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1083862"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1764"
"31","Total 15-17 years age group Vaccinated with 2nddose","","748603"
"32","12-14 years age group Vaccinated with 1st dose on the day","","804"
"33","Total 12-14 years age group Vaccinated with 1st dose","","592354"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1520"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","323590"
"36","Precautionary dose given on the day","","3916"
"37","Total Precautionary dose given","","716984"
"38","Total Vaccination 1st dose on the day","","1990"
"39","Total Vaccination 2nd dose on the day","","21361"
"40","Total Vaccination 1st and 2nd dose on the day","","23351"
