"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","401"
"2","Number of persons tested positive today in Tamil Nadu","55"
"3","Total Number of persons tested positive till date","34,55,154"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,609/ 
6,65,73,454@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,595/ 
6,53,96,205"
"6","No. of Male / Female / Transgender tested positive today","26/29/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,415/14,38,701/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","337 (69 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","41/ 
34,16,728"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
