"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","244","8","0","6","68"
"2","ALWAR","482","8","0","2","38"
"3","BANSWARA","127","0","0","0","0"
"4","BARAN","109","0","0","3","4"
"5","BARMER","21","0","0","0","0"
"6","BHARATPUR","19","0","0","0","1"
"7","BHILWARA","42","0","0","0","0"
"8","BIKANER","244","2","0","1","6"
"9","BUNDI","90","0","0","0","0"
"10","CHITTORGARH","139","0","0","2","4"
"11","CHURU","85","0","0","0","0"
"12","DAUSA","356","0","0","0","0"
"13","DHOLPUR","93","0","0","0","0"
"14","DUNGARPUR","1","0","0","2","2"
"15","GANGANAGAR","38","0","0","0","1"
"16","HANUMANGARH","130","0","0","0","1"
"17","JAIPUR","690","14","0","10","83"
"18","JAISALMER","5","0","0","0","0"
"19","JALORE","38","0","0","0","0"
"20","JHALAWAR","18","0","0","1","3"
"21","JHUNJHUNU","200","0","0","0","1"
"22","JODHPUR","187","20","0","9","44"
"23","KARAULI","274","0","0","0","0"
"24","KOTA","499","2","0","6","37"
"25","NAGAUR","239","0","0","0","4"
"26","PALI","210","2","0","2","10"
