"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22238","","5162","","27400",""
"2","Total Active Cases","433 
(1.9%)","","137 
(2.7%)","","570 
(2.1%)",""
"3","Total Cured/ Discharged","21638 
(97.3%)","","4966                                  
(96.2%)","","(97.1%)",""
"4","Total Died","167 
(0.75%)","","59 
(1.1%)","","226 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","13","","5","","18",""
"6","Total Positive cases in Home Isolation","279","","132","","411",""
"7","COVID Care Centre","118","","00","","118",""
"8","Facility Isolation","23","","00","","23",""
"9","No. of Samples Tested (Today)","913","","338","","1251",""
"10","No. of Samples Positive (Today)","50","","11","","61",""
"11","No. of Samples Negative (Today)","862","","327","","1189",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","683 
        00 
        00 
        50 
       733"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(11/01/2022)","","Test Done Today 
(12/02/2022)","","Cumulative"
"","","a)  RTPCR","287377","","1106","","288483"
"","","b)  TRUENAT","11939","","12","","11951"
"","","c)  RAT","345120","","105","","345225"
"","","d)  CBNAAT","674","","28","","702"
"","","TOTAL","645110","","1251","","646361"
