"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","8","10","0","1","35"
"2","ALWAR","66","0","0","0","15"
"3","BANSWARA","57","0","0","0","0"
"4","BARAN","49","0","0","0","2"
"5","BARMER","4","0","0","0","0"
"6","BHARATPUR","2","0","0","0","2"
"7","BHILWARA","24","0","0","0","2"
"8","BIKANER","75","0","0","2","5"
"9","BUNDI","0","0","0","0","1"
"10","CHITTORGARH","0","0","0","2","5"
"11","CHURU","44","0","0","0","0"
"12","DAUSA","16","1","0","1","2"
"13","DHOLPUR","60","0","0","0","0"
"14","DUNGARPUR","3","0","0","0","11"
"15","GANGANAGAR","0","1","0","0","2"
"16","HANUMANGARH","13","0","0","0","0"
"17","JAIPUR","475","2","0","13","62"
"18","JAISALMER","1","0","0","0","0"
"19","JALORE","2","0","0","0","4"
"20","JHALAWAR","4","0","0","0","2"
"21","JHUNJHUNU","14","0","0","0","0"
"22","JODHPUR","65","0","0","0","28"
"23","KARAULI","11","0","0","1","0"
"24","KOTA","146","0","0","0","36"
"25","NAGAUR","62","0","0","2","0"
"26","PALI","15","0","0","5","11"
