"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total
Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","75","109852","58","107547","1","2280","25"
"2","SAS Nagar","88","95779","51","94584","0","1148","47"
"3","Jalandhar","62","78338","37","76737","0","1578","23"
"4","Patiala","38","62075","25","60597","0","1458","20"
"5","Amritsar","18","59413","14","57722","0","1682","9"
"6","Bathinda","15","50885","14","49792","0","1088","5"
"7","Hoshiarpur","41","40879","41","39773","0","1096","10"
"8","Gurdaspur","9","26949","10","26083","1","865","1"
"9","Pathankot","20","24556","20","24053","0","495","8"
"10","Fazilka","8","23406","16","22855","0","545","6"
"11","Muktsar","6","22560","9","22019","0","539","2"
"12","Kapurthala","18","22051","13","21465","1","580","6"
"13","Ropar","5","17943","3","17486","0","455","2"
"14","Ferozepur","7","17906","6","17366","0","537","3"
"15","Mansa","2","17230","1","16837","0","392","1"
"16","Faridkot","11","16797","15","16456","0","338","3"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","13","13415","14","13002","0","409","4"
"19","FG Sahib","7","11841","4","11484","0","354","3"
"20","Moga","1","10988","2","10733","1","255","0"
"21","Tarn Taran","1","10900","1","10506","0","394","0"
"22","Barnala","2","7500","8","7151","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","447","759538","362","741612","4","17748","178"
