"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","254035","19242895"
"2","Total No. of patients tested Positive","447","759538"
"3","No. of patients discharged","362","741612"
"4","Total Deaths reported","4","17748"
"5","Sample collected on the day","","11230"
"6","Test conducted on the day","","11167"
"7","Positive cases on the day","","27"
"8","Number of active Cases","","178"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218539"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117003"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","37"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209374"
"18","Frontline Workers vaccinated with 2nd dose on the day","","183"
"19","Total Frontline Workers vaccinated with 2nd dose","","1009542"
"20","Above 45 Vaccinated with 1st dose on the day","","565"
"21","Total Above 45 Vaccinated with 1st dose","","8278645"
"22","Above 45 Vaccinated with 2nd dose on the day","","10641"
"23","Total Above 45 Vaccinated with 2nd dose","","6957647"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2155"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12458927"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","23633"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9243537"
"28","15-17 years age group Vaccinated with 1st dose on the day","","3434"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1023649"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","6287"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","586863"
"32","12-14 years age group Vaccinated with 1st dose on the day","","8932"
"33","Total 12-14 years age group Vaccinated with 1st dose","","425746"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","14040"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","76740"
"36","Precautionary dose given on the day","","5136"
"37","Total Precautionary dose given","","533206"
"38","Total Vaccination 1st dose on the day","","2726"
"39","Total Vaccination 2nd dose on the day","","34494"
"40","Total Vaccination 1st and 2nd dose on the day","","37220"
