"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","56,002"
"2","Number of persons tested positive today in Tamil Nadu","3,086"
"3","Total Number of persons tested positive till date","34,31,154"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,06,514/ 
6,30,87,051@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,830/ 
6,19,36,291"
"6","No. of Male / Female / Transgender tested positive today","1,840/1,246/0"
"7","No. of Male / Female / Transgender tested positive till date","20,02,506/14,28,610/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","332 (69 Govt+ 
263 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","14,051/ 
33,37,265"
"10","Total number of deaths today/ till date","25(14 Private &  
11 Govt) /37,887"
