"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"10","Kolhapur","220485","214577","5904","4"
"11","Solapur","227056","221174","5876","6"
"12","Nashik","472850","463928","8910","12"
"13","Ahmednagar","377671","370411","7242","18"
"14","Jalgaon","149525","146764","2761","0"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50753","50081","670","2"
"17","Aurangabad","176522","172237","4284","1"
"18","Jalna","66324","65098","1224","2"
"19","Beed","109179","106295","2883","1"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58553","57271","1279","3"
"22","Hingoli","22172","21656","514","2"
"23","Nanded","102664","99958","2704","2"
"24","Osmanabad","75153","73014","2139","0"
"25","Amravati","105944","104321","1623","0"
"26","Akola","66181","64711","1470","0"
"27","Washim","45624","44981","641","2"
"28","Buldhana","92008","91171","836","1"
"29","Yavatmal","81979","80159","1820","0"
"30","Nagpur","576392","567170","9215","7"
"31","Wardha","65669","64261","1408","0"
"32","Bhandara","67941","66799","1142","0"
"33","Gondia","45421","44834","587","0"
