"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Deaths due 
to other 
causes","Active cases"
"11","Solapur","43819","39036","1438","1","3344"
"12","Nashik","93938","87478","1540","","4920"
"13","Ahmednagar","55921","49556","853","","5512"
"14","Jalgaon","53473","49982","1345","","2146"
"15","Nandurbar","6369","5742","141","","486"
"16","Dhule","14196","13491","340","2","363"
"17","Aurangabad","41736","39117","978","","1641"
"18","Jalna","10352","9492","282","","578"
"19","Beed","13788","12319","414","","1055"
"20","Latur","20678","18022","610","","2046"
"21","Parbhani","6624","5677","237","","710"
"22","Hingoli","3635","3031","74","","530"
"23","Nanded","19155","16574","519","","2062"
"24","Osmanabad","15288","13606","496","","1186"
"25","Amaravati","16973","15855","349","","769"
"26","Akola","8541","7679","278","1","583"
"27","Washim","5741","5381","136","1","223"
"28","Buldhana","10491","8307","167","","2017"
"29","Yavatmal","10837","9888","314","","635"
"30","Nagpur","101873","93767","2727","10","5369"
"31","Wardha","6577","5860","204","1","512"
"32","Bhandara","8833","7491","193","","1149"
"33","Gondia","9836","8819","112","","905"
"34","Chandrapur","16168","11580","241","","4347"
"35","Gadchiroli","5259","4232","36","","991"
