"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1331060","20321523"
"2","Total No. of patients tested Positive","17204","777764"
"3","No. of patients discharged","14243","754518"
"4","Total Deaths reported","100","20405"
"5","Sample collected on the day","","11671"
"6","Test conducted on the day","","11681"
"7","Positive cases on the day","","406"
"8","Number of active Cases","","2841"
"9","No. of Patients on oxygen support","","97"
"10","Patients at critical care Level-3 facilities","","24"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","6"
"13","Total Healthcare Workers vaccinated with 1st dose","","218822"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117780"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","9"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211622"
"18","Frontline Workers vaccinated with 2nd dose on the day","","55"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017929"
"20","Above 45 Vaccinated with 1st dose on the day","","258"
"21","Total Above 45 Vaccinated with 1st dose","","8339355"
"22","Above 45 Vaccinated with 2nd dose on the day","","2736"
"23","Total Above 45 Vaccinated with 2nd dose","","7608177"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1055"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12636285"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","6542"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10586243"
"28","15-17 years age group Vaccinated with 1st dose on the day","","321"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1105278"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","991"
"31","Total 15-17 years age group Vaccinated with 2nddose","","835117"
"32","12-14 years age group Vaccinated with 1st dose on the day","","953"
"33","Total 12-14 years age group Vaccinated with 1st dose","","651228"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1814"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","438987"
"36","Precautionary dose given on the day","","22642"
"37","Total Precautionary dose given","","1255128"
"38","Total Vaccination 1st dose on the day","","1326"
"39","Total Vaccination 2nd dose on the day","","9342"
"40","Total Vaccination 1st and 2nd dose on the day","","10668"
