"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","777529","0","49706","0","446","2","49253","7"
"2","ALWAR","1572106","0","84445","0","320","2","84111","14"
"3","BANSWARA","309347","1","14762","0","106","0","14644","12"
"4","BARAN","227635","0","15245","0","64","1","15180","1"
"5","BARMER","399651","2","21454","0","205","0","21247","2"
"6","BHARATPUR","474683","0","31449","0","272","13","31167","10"
"7","BHILWARA","500852","0","38176","0","162","0","38014","0"
"8","BIKANER","725578","1","49885","0","586","2","49295","4"
"9","BUNDI","227520","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","447524","0","29371","0","140","0","29222","9"
"11","CHURU","426546","1","20817","0","114","0","20696","7"
"12","DAUSA","284672","0","15773","0","80","0","15693","0"
"13","DHOLPUR","274800","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326620","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","419537","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","484389","0","22514","0","114","0","22389","11"
"17","JAIPUR","3321677","3","274330","0","2111","18","272095","124"
"18","JAISALMER","241116","0","17036","0","68","0","16968","0"
"19","JALORE","439827","0","10545","0","78","0","10467","0"
"20","JHALAWAR","374889","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","488159","0","19158","0","181","0","18977","0"
"22","JODHPUR","1394374","1","141049","0","1163","3","139860","26"
"23","KARAULI","234963","0","8968","0","84","0","8883","1"
