"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17644","","3626","","21270",""
"2","Total Active Cases","202 
(1.14%)","","09 
(0.25%)","","211 
(0.99%)",""
"3","Total Cured/ Discharged","17288 
(97.98%)","","3559 
(98.2%)","","20847 
(98.01%)",""
"4","Total Died","154 
(0.87%)","","58 
(1.6%)","","212 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","01","","21",""
"6","Total Positive cases in Home Isolation","167","","08","","175",""
"7","COVID Care Centre","02","","0","","02",""
"8","Facility Isolation","13","","0","","13",""
"9","No. of Samples Tested (Today)","407","","114","","521",""
"10","No. of Samples Positive (Today)","18","","00","","18",""
"11","No. of Samples Negative (Today)","388","","114","","502",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","46 
           30 
      00 
           18 
           94"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(17/11/2021)","","Test Done Today 
(18/11/2021)","","Cumulative"
"","","a)  RTPCR","221156","","419","","221575"
"","","b)  TRUENAT","11025","","03","","11028"
"","","c)  RAT","329831","","99","","329930"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","562159","","521","","562680"
