"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1364389*","20354852*"
"2","Total No. of patients tested Positive","18331","778891"
"3","No. of patients discharged","15706","755981"
"4","Total Deaths reported","112","20417"
"5","Sample collected on the day","","10155"
"6","Test conducted on the day","","9984"
"7","Positive cases on the day","","286"
"8","Number of active Cases","","2493"
"9","No. of Patients on oxygen support","","98"
"10","Patients at critical care Level-3 facilities","","22"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218834"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117795"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","13"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211651"
"18","Frontline Workers vaccinated with 2nd dose on the day","","62"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018051"
"20","Above 45 Vaccinated with 1st dose on the day","","335"
"21","Total Above 45 Vaccinated with 1st dose","","8339981"
"22","Above 45 Vaccinated with 2nd dose on the day","","2416"
"23","Total Above 45 Vaccinated with 2nd dose","","7614385"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1319"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12638580"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","5059"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10598407"
"28","15-17 years age group Vaccinated with 1st dose on the day","","220"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1105812"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","842"
"31","Total 15-17 years age group Vaccinated with 2nddose","","837003"
"32","12-14 years age group Vaccinated with 1st dose on the day","","877"
"33","Total 12-14 years age group Vaccinated with 1st dose","","653062"
"34","12-14 years age group Vaccinated with 2nddose on the day","","959"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","441143"
"36","Precautionary dose given on the day","","21763"
"37","Total Precautionary dose given","","1300723"
"38","Total Vaccination 1st dose on the day","","1666"
"39","Total Vaccination 2nd dose on the day","","7550"
"40","Total Vaccination 1st and 2nd dose on the day","","9216"
