"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17895","","3645","","21540",""
"2","Total Active Cases","229 
(1.28%)","","21 
(0.6%)","","250 
(1.2%)",""
"3","Total Cured/ Discharged","17510 
(97.8%)","","3566                                  
(97.8%)","","(97.8%)",""
"4","Total Died","156 
(0.87%)","","58 
(1.6%)","","214 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","34","","00","","34",""
"6","Total Positive cases in Home Isolation","168","","21","","189",""
"7","COVID Care Centre","15","","0","","15",""
"8","Facility Isolation","12","","0","","12",""
"9","No. of Samples Tested (Today)","941","","279","","1220",""
"10","No. of Samples Positive (Today)","11","","01","","12",""
"11","No. of Samples Negative (Today)","930","","278","","1208",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","58 
            55 
       00 
            07 
          120"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(28/11/2021)","","Test Done Today 
(29/11/2021)","","Cumulative"
"","","a)  RTPCR","230144","","560","","230704"
"","","b)  TRUENAT","11051","","01","","11052"
"","","c)  RAT","331405","","659","","332064"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","572772","","1220","","573992"
