"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","244","5","0","8","24"
"2","ALWAR","421","5","0","2","12"
"3","BANSWARA","154","0","0","0","0"
"4","BARAN","128","0","0","0","0"
"5","BARMER","22","0","0","0","1"
"6","BHARATPUR","16","0","0","0","1"
"7","BHILWARA","45","0","0","0","0"
"8","BIKANER","227","1","0","0","6"
"9","BUNDI","68","0","0","0","0"
"10","CHITTORGARH","99","2","0","0","8"
"11","CHURU","81","0","0","0","0"
"12","DAUSA","250","0","0","0","1"
"13","DHOLPUR","67","0","0","0","0"
"14","DUNGARPUR","6","0","0","0","0"
"15","GANGANAGAR","49","0","0","0","0"
"16","HANUMANGARH","103","0","0","0","2"
"17","JAIPUR","1027","28","0","14","124"
"18","JAISALMER","10","0","0","0","0"
"19","JALORE","49","0","0","0","0"
"20","JHALAWAR","478","0","0","0","1"
"21","JHUNJHUNU","169","0","0","0","0"
"22","JODHPUR","191","15","0","2","57"
"23","KARAULI","115","0","0","0","3"
"24","KOTA","601","4","0","7","16"
"25","NAGAUR","269","0","0","0","0"
"26","PALI","265","0","0","2","11"
