"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18092","","3657","","21749",""
"2","Total Active Cases","211 
(1.17%)","","19 
(0.52%)","","230 
(1.05%)",""
"3","Total Cured/ Discharged","17724 
(98%)","","3580                                  
(98%)","","(98%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","161","","19","","180",""
"7","COVID Care Centre","22","","0","","22",""
"8","Facility Isolation","13","","0","","13",""
"9","No. of Samples Tested (Today)","560","","402","","962",""
"10","No. of Samples Positive (Today)","14","","00","","14",""
"11","No. of Samples Negative (Today)","546","","402","","948",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","286 
           46 
       00 
           13 
          345"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(07/12/2021)","","Test Done Today 
(08/12/2021)","","Cumulative"
"","","a)  RTPCR","237842","","757","","238599"
"","","b)  TRUENAT","11098","","11","","11109"
"","","c)  RAT","334132","","194","","334326"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","583244","","962","","584206"
