"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","14,504"
"2","Number of persons tested positive today in Tamil Nadu","2,670"
"","Passengers returned from other countries  by 
International airport tested positive today","Maldives-2"
"","Total","2,672"
"3","Total Number of persons tested positive till date","34,82,775"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","33,289/ 
6,72,46,684@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,793/ 
6,60,64,931"
"6","No. of Male / Female / Transgender tested positive today","1,483/1,189/0"
"7","No. of Male / Female / Transgender tested positive till date","20,31,327/14,51,410/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,487/ 
34,30,245"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
