"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1389869","20380332"
"2","Total No. of patients tested Positive","19045","779605"
"3","No. of patients discharged","16830","757105"
"4","Total Deaths reported","121","20426"
"5","Sample collected on the day","","7266"
"6","Test conducted on the day","","7317"
"7","Positive cases on the day","","184"
"8","Number of active Cases","","2074"
"9","No. of Patients on oxygen support","","91"
"10","Patients at critical care Level-3 facilities","","25"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218835"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117797"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","0"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211663"
"18","Frontline Workers vaccinated with 2nd dose on the day","","4"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018102"
"20","Above 45 Vaccinated with 1st dose on the day","","25"
"21","Total Above 45 Vaccinated with 1st dose","","8340272"
"22","Above 45 Vaccinated with 2nd dose on the day","","240"
"23","Total Above 45 Vaccinated with 2nd dose","","7616658"
"24","18-44 years age group Vaccinated with 1st dose on the day","","271"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12639995"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","446"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10603748"
"28","15-17 years age group Vaccinated with 1st dose on the day","","12"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1106084"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","36"
"31","Total 15-17 years age group Vaccinated with 2nddose","","837813"
"32","12-14 years age group Vaccinated with 1st dose on the day","","208"
"33","Total 12-14 years age group Vaccinated with 1st dose","","654094"
"34","12-14 years age group Vaccinated with 2nddose on the day","","75"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","442014"
"36","Precautionary dose given on the day","","1785"
"37","Total Precautionary dose given","","1324810"
"38","Total Vaccination 1st dose on the day","","296"
"39","Total Vaccination 2nd dose on the day","","690"
"40","Total Vaccination 1st and 2nd dose on the day","","986"
