"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","787174","3","49761","0","447","0","49296","18"
"2","ALWAR","1607914","4","84609","0","320","8","84237","52"
"3","BANSWARA","317605","0","14765","0","106","0","14659","0"
"4","BARAN","235279","11","15281","0","64","0","15187","30"
"5","BARMER","403309","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476258","0","31451","0","272","0","31179","0"
"7","BHILWARA","506820","0","38182","0","162","0","38019","1"
"8","BIKANER","741691","3","49933","0","586","1","49330","17"
"9","BUNDI","233746","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","451822","0","29383","0","140","0","29237","6"
"11","CHURU","434117","0","20833","0","114","3","20717","2"
"12","DAUSA","291371","2","15812","0","80","1","15713","19"
"13","DHOLPUR","284365","0","13943","0","49","0","13875","19"
"14","DUNGARPUR","327701","0","25498","0","134","0","25363","1"
"15","GANGANAGAR","422438","0","28145","0","158","1","27985","2"
"16","HANUMANGARH","488274","0","22518","0","114","0","22404","0"
"17","JAIPUR","3411826","28","275767","0","2112","35","273401","254"
"18","JAISALMER","242392","0","17036","0","68","0","16968","0"
"19","JALORE","444941","0","10546","0","78","0","10468","0"
"20","JHALAWAR","394329","1","17722","0","207","2","17508","7"
"21","JHUNJHUNU","492306","0","19158","0","181","0","18977","0"
"22","JODHPUR","1420289","2","141115","0","1164","0","139941","10"
"23","KARAULI","238025","0","8968","0","84","0","8884","0"
"24","KOTA","1121393","2","70110","0","477","1","69626","7"
"25","NAGAUR","642935","2","23659","0","200","1","23450","9"
"26","PALI","461504","0","35853","0","298","0","35555","0"
"27","PRATAPGARH","277430","0","11874","0","65","0","11809","0"
"28","RAJSAMAND","300941","0","23031","0","178","0","22851","2"
"29","SAWAI MADHOPUR","277352","0","15817","0","66","4","15745","6"
