"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 18-06-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","425","",""
"","","2","Total Discharges","3915271","",""
"","","3","Today's Tests Conducted","24469","",""
"","","4","Total Tests Conducted","66733918","",""
"","","5","Today’s New Cases Reported (17.06.2022, 00:00 to 23:59)","750","",""
"","","6","Total Active Cases","4825","",""
"","","7","Today's Deaths Reported","0","",""
"","","8","Total Covid Deaths","40070","",""
"","","9","Total Positive Cases","3960208","",""
"","","10","Positivity Rate for the day (17.06.2022, 00:00 to 23:59)","3.06%","",""
"","","11","*Weekly Total Positivity Rate","2.84%","",""
"","","12","Case Fatality Rate (CFR) for the day (17.06.2022, 00:00 to 23:59)","0.00","",""
"","","13","*Weekly Case Fatality Rate","0.08%","",""
"*
     
   
From 12-06-2022 to 18-06-2022  
 
Particulars 
Today’s 
Cumulative 
5022* 
1074509 
A 
Total Passengers screened at Air ports 
          Date: 17-6-2022 
 
Date: 18-06-2022 
Page 1 of 7","","","","","",""
