"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 20.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1034","",""
"","","2","Total Discharges","3989451","",""
"","","3","Today's Tests Conducted","32130","",""
"","","4","Total Tests Conducted","68365148","",""
"","","5","Today’s New Cases Reported (19.08.2022, 00:00 to 23:59)","1713","",""
"","","6","Total Active Cases","10452","",""
"","","7","Today's Deaths Reported","4","",""
"","","8","Total Covid Deaths","40166","",""
"","","9","Total Positive Cases","4040111","",""
"","","10","Positivity Rate for the day (19.08.2022, 00:00 to 23:59)","5.33%","",""
"","","11","*Weekly Total Positivity Rate","6.51%","",""
"","","12","Case Fatality Rate (CFR) for the day (19.08.2022, 00:00 to 23:59)","0.23%","",""
"","","13","*Weekly Case Fatality Rate","0.21%","",""
"*From  14-08-2022 to  20-08-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
4332* 
1392350 
          *Date: 19-08-2022 
 
Date: 20-08-2022 
Page 1 of 9","","","","","",""
