"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","228"
"2","Number of persons tested positive today in Tamil Nadu","30"
"3","Total Number of persons tested positive till date","34,53,084"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,063/ 
6,58,18,587@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,053/ 
6,46,41,972"
"6","No. of Male / Female / Transgender tested positive today","16/14/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,272/14,37,774/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","31/ 
34,14,831"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
