"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18341","","3718","","22059",""
"2","Total Active Cases","153 
(0.83%)","","57 
(1.5%)","","210 
(0.95%)",""
"3","Total Cured/ Discharged","18028 
(98.3%)","","3603                                  
(96.9%)","","(98%)",""
"4","Total Died","160 
(0.87%)","","58 
(1.6%)","","218 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","103","","57","","160",""
"7","COVID Care Centre","18","","0","","18",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","488","","245","","733",""
"10","No. of Samples Positive (Today)","13","","10","","23",""
"11","No. of Samples Negative (Today)","475","","235","","710",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","442 
           32 
       00 
            90 
          564"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(23/12/2021)","","Test Done Today 
(24/12/2021)","","Cumulative"
"","","a)  RTPCR","247421","","555","","247976"
"","","b)  TRUENAT","11209","","10","","11219"
"","","c)  RAT","337263","","168","","337431"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","596065","","733","","596798"
