"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,785"
"2","Number of persons tested positive today in Tamil Nadu","419"
"3","Total Number of persons tested positive till date","35,74,933"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,570/ 
6,91,57,766@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,422/ 
6,79,42,058"
"6","No. of Male / Female / Transgender tested positive today","242/177/0"
"7","No. of Male / Female / Transgender tested positive till date","20,84,790/14,90,105/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","444/ 
35,32,109"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,039"
