"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","645670","4","37859","0","410","1","37427","22"
"2","ALWAR","1302574","0","59742","0","307","0","59418","17"
"3","BANSWARA","247598","0","10005","0","104","0","9901","0"
"4","BARAN","172425","0","12000","0","61","0","11936","3"
"5","BARMER","339336","0","15585","0","186","0","15393","6"
"6","BHARATPUR","390974","0","19604","0","260","0","19341","3"
"7","BHILWARA","410819","0","29788","0","156","0","29627","5"
"8","BIKANER","610515","0","40401","0","546","1","39837","18"
"9","BUNDI","184154","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","373008","0","19809","0","139","0","19670","0"
"11","CHURU","332496","0","16723","0","108","0","16615","0"
"12","DAUSA","219733","0","13356","0","62","0","13292","2"
"13","DHOLPUR","230603","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","258845","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","347676","0","19360","0","151","0","19207","2"
"16","HANUMANGARH","401031","0","16076","0","111","4","15949","16"
"17","JAIPUR","2613032","9","188187","0","1971","25","186121","95"
"18","JAISALMER","210846","0","13646","0","66","0","13580","0"
"19","JALORE","386625","0","10068","0","72","0","9995","1"
"20","JHALAWAR","301350","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","395880","2","14825","0","158","0","14655","12"
"22","JODHPUR","1181341","2","112441","0","1103","0","111326","12"
"23","KARAULI","179735","0","7156","0","70","0","7086","0"
