"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1807647","20798111"
"2","Total No. of patients tested Positive","24193","784721"
"3","No. of patients discharged","23811","764085"
"4","Total Deaths reported","203","20508"
"5","Sample collected on the day","","5533"
"6","Test conducted on the day","","5462"
"7","Positive cases on the day","","32"
"8","Number of active Cases","","128"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117941"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211963"
"18","Frontline Workers vaccinated with 2nd dose on the day","","9"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019271"
"20","Above 45 Vaccinated with 1st dose on the day","","65"
"21","Total Above 45 Vaccinated with 1st dose","","8346639"
"22","Above 45 Vaccinated with 2nd dose on the day","","262"
"23","Total Above 45 Vaccinated with 2nd dose","","7651562"
"24","18-44 years age group Vaccinated with 1st dose on the day","","225"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12661312"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","911"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10696225"
"28","15-17 years age group Vaccinated with 1st dose on the day","","92"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114518"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","450"
"31","Total 15-17 years age group Vaccinated with 2nddose","","861890"
"32","12-14 years age group Vaccinated with 1st dose on the day","","459"
"33","Total 12-14 years age group Vaccinated with 1st dose","","677519"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1258"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","484407"
"36","Precautionary dose given on the day","","3850"
"37","Total Precautionary dose given","","1773352"
"38","Total Vaccination 1st dose on the day","","291"
"39","Total Vaccination 2nd dose on the day","","1184"
"40","Total Vaccination 1st and 2nd dose on the day","","1475"
