"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1253360","20243823"
"2","Total No. of patients tested Positive","14192","774753"
"3","No. of patients discharged","11032","751307"
"4","Total Deaths reported","79","20385"
"5","Sample collected on the day","","10065"
"6","Test conducted on the day","","9825"
"7","Positive cases on the day","","491"
"8","Number of active Cases","","3061"
"9","No. of Patients on oxygen support","","115"
"10","Patients at critical care Level-3 facilities","","17"
"11","Patients who are critical and on ventilator support","","5"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218800"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117713"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","17"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211529"
"18","Frontline Workers vaccinated with 2nd dose on the day","","95"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017615"
"20","Above 45 Vaccinated with 1st dose on the day","","208"
"21","Total Above 45 Vaccinated with 1st dose","","8337963"
"22","Above 45 Vaccinated with 2nd dose on the day","","3304"
"23","Total Above 45 Vaccinated with 2nd dose","","7591894"
"24","18-44 years age group Vaccinated with 1st dose on the day","","788"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12629587"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","8367"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10550725"
"28","15-17 years age group Vaccinated with 1st dose on the day","","447"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1103282"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1577"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","828660"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1728"
"33","Total 12-14 years age group Vaccinated with 1st dose","","643891"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","1794"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","429165"
"36","Precautionary dose given on the day","","23613"
"37","Total Precautionary dose given","","1126466"
"38","Total Vaccination 1st dose on the day","","1003"
"39","Total Vaccination 2nd dose on the day","","11783"
"40","Total Vaccination 1st and 2nd dose on the day","","12786"
