"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","636282","2","37838","0","410","4","37410","18"
"2","ALWAR","1268068","4","59725","0","307","0","59405","13"
"3","BANSWARA","236749","0","10005","0","104","0","9901","0"
"4","BARAN","166038","0","11997","0","61","0","11936","0"
"5","BARMER","334411","0","15579","0","185","0","15386","8"
"6","BHARATPUR","386952","0","19601","0","260","0","19341","0"
"7","BHILWARA","400279","0","29783","0","156","0","29626","1"
"8","BIKANER","602475","1","40383","0","546","7","39815","22"
"9","BUNDI","179026","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","365929","0","19809","0","139","0","19670","0"
"11","CHURU","322504","0","16721","0","107","0","16614","0"
"12","DAUSA","214145","0","13354","0","62","0","13291","1"
"13","DHOLPUR","227966","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","254881","0","18412","0","131","0","18276","5"
"15","GANGANAGAR","339494","0","19357","0","150","0","19205","2"
"16","HANUMANGARH","386179","4","16060","0","111","0","15942","7"
"17","JAIPUR","2572693","25","188092","0","1971","11","186002","119"
"18","JAISALMER","208424","0","13646","0","66","0","13578","2"
"19","JALORE","379468","0","10067","0","72","0","9995","0"
"20","JHALAWAR","289974","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","380310","0","14813","0","158","1","14654","1"
"22","JODHPUR","1167989","2","112428","0","1103","0","111316","9"
"23","KARAULI","173677","0","7156","0","70","0","7086","0"
