"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18643","","3770","","22413",""
"2","Total Active Cases","204 
(1.2%)","","37 
(0.98%)","","241 
(1.1%)",""
"3","Total Cured/ Discharged","18276 
(98.0%)","","3675                                  
(97.5%)","","(97.7%)",""
"4","Total Died","163 
(0.87%)","","58 
(1.5%)","","221 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","00","","12",""
"6","Total Positive cases in Home Isolation","145","","37","","182",""
"7","COVID Care Centre","41","","0","","41",""
"8","Facility Isolation","06","","0","","06",""
"9","No. of Samples Tested (Today)","552","","771","","1323",""
"10","No. of Samples Positive (Today)","36","","07","","43",""
"11","No. of Samples Negative (Today)","515","","764","","1279",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","757 
           00 
       00 
            14 
          771"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(06/01/2022)","","Test Done Today 
(07/01/2022)","","Cumulative"
"","","a)  RTPCR","257208","","627","","257835"
"","","b)  TRUENAT","11290","","13","","11303"
"","","c)  RAT","339458","","683","","340141"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","608128","","1323","","609451"
