"S. No","Subject","Number"
"1","Total Number of people vaccinated on 26th Feb","2,69,684"
"2","First Dose on 26th Feb","19,737"
"3","Second Dose on 26th Feb","2,37,083"
"4","Precaution Dose on 26th Feb","12,864"
"5","Cumulative Vaccination till 26th Feb","12,90,81,907"
"6","Cumulative Vaccination First Dose","6,96,72,449"
"7","Cumulative Vaccination Second Dose","5,78,04,088"
"8","Cumulative Precaution Dose","16,05,370"
"9","Number of CVC (Common Vaccination Centres)","4,231"
"10","Cumulative AEFI cases reported","6,954"
"11","Vaccine wastage","-7%"
