"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1442874","20433337"
"2","Total No. of patients tested Positive","20720","781247"
"3","No. of patients discharged","18731","759006"
"4","Total Deaths reported","141","20446"
"5","Sample collected on the day","","8850"
"6","Test conducted on the day","","8532"
"7","Positive cases on the day","","219"
"8","Number of active Cases","","1795"
"9","No. of Patients on oxygen support","","99"
"10","Patients at critical care Level-3 facilities","","33"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218844"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117819"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211717"
"18","Frontline Workers vaccinated with 2nd dose on the day","","10"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018359"
"20","Above 45 Vaccinated with 1st dose on the day","","32"
"21","Total Above 45 Vaccinated with 1st dose","","8341397"
"22","Above 45 Vaccinated with 2nd dose on the day","","427"
"23","Total Above 45 Vaccinated with 2nd dose","","7624451"
"24","18-44 years age group Vaccinated with 1st dose on the day","","131"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12643639"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1078"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10623667"
"28","15-17 years age group Vaccinated with 1st dose on the day","","55"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1107020"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","277"
"31","Total 15-17 years age group Vaccinated with 2nddose","","841057"
"32","12-14 years age group Vaccinated with 1st dose on the day","","105"
"33","Total 12-14 years age group Vaccinated with 1st dose","","656057"
"34","12-14 years age group Vaccinated with 2nddose on the day","","253"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","446722"
"36","Precautionary dose given on the day","","3602"
"37","Total Precautionary dose given","","1418447"
"38","Total Vaccination 1st dose on the day","","165"
"39","Total Vaccination 2nd dose on the day","","1517"
"40","Total Vaccination 1st and 2nd dose on the day","","1682"
