"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23833","","5332","","29165",""
"2","Total Active Cases","47 
(0.19%)","","05 
(0.09%)","","52 
(0.18%)",""
"3","Total Cured/Discharged","23617 
(99.1%)","","5267 
(98.8%)","","28884 
(99%)",""
"4","Total Died","169 
(0.71%)","","60 
(1.1%)","","229 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","08","","01","","09",""
"6","Total Positive cases in Home Isolation","36","","04","","40",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","763","","118","","881",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","758","","118","","876",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","55 
00 
00 
00 
55"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(23/08/2022)","","Test Done Today 
(24/08/2022)","","Cumulative"
"","","a)RTPCR","35713","","186","","35899"
"","","b)TRUENAT","14889","","15","","14904"
"","","c)RAT","360643","","680","","361323"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","712470","","881","","713351"
