"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","516","2","0","5","68"
"2","ALWAR","1236","7","0","9","92"
"3","BANSWARA","105","3","0","0","18"
"4","BARAN","198","1","0","0","5"
"5","BARMER","30","0","0","0","0"
"6","BHARATPUR","152","0","0","0","10"
"7","BHILWARA","255","4","0","2","31"
"8","BIKANER","453","3","0","4","27"
"9","BUNDI","47","0","0","1","12"
"10","CHITTORGARH","266","2","0","7","28"
"11","CHURU","164","0","0","0","0"
"12","DAUSA","444","4","2","18","54"
"13","DHOLPUR","160","0","0","0","8"
"14","DUNGARPUR","78","4","0","4","18"
"15","GANGANAGAR","252","0","0","2","3"
"16","HANUMANGARH","272","2","0","0","9"
"17","JAIPUR","1497","25","1","32","250"
"18","JAISALMER","13","0","0","0","3"
"19","JALORE","75","1","0","0","12"
"20","JHALAWAR","449","0","0","3","3"
"21","JHUNJHUNU","561","0","0","2","1"
"22","JODHPUR","291","4","0","29","97"
"23","KARAULI","279","0","0","2","3"
"24","KOTA","989","6","0","6","55"
"25","NAGAUR","433","1","0","2","15"
"26","PALI","448","1","0","1","20"
