"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22947","","5275","","28222",""
"2","Total Active Cases","10 
(0.04%)","","00 
(0%)","","10 
(0.04%)",""
"3","Total Cured/ Discharged","22769 
(99.22%)","","5215                                  
(98.9%)","","(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","0","","04",""
"6","Total Positive cases in Home Isolation","06","","00","","06",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","278","","139","","417",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","278","","139","","417",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","97 
        00 
        00 
        137 
       234"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(29/03/2022)","","Test Done Today 
(30/03/2022)","","Cumulative"
"","","a)  RTPCR","315850","","365","","316215"
"","","b)  TRUENAT","12973","","16","","12989"
"","","c)  RAT","347492","","34","","347526"
"","","d)  CBNAAT","956","","02","","958"
"","","TOTAL","677271","","417","","677688"
